"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMalloc","3","379652270","126550756","86.1123937732345"
"hipDeviceSynchronize","5","35141060","7028212","7.9706643037558"
"hipMemcpy","15","25189140","1679276","5.71337856741679"
"hipLaunchKernel","5","735770","147154","0.166886703894942"
"hipFree","3","138750","46250","0.0314711528948221"
"__hipPopCallConfiguration","5","11620","2324","0.00263563817396636"
"__hipPushCallConfiguration","5","11330","2266","0.00256986062917719"
"Total","41","440879940","10753169","100.0"
