"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMalloc","3","392895829","130965276","86.5400544696242"
"hipDeviceSynchronize","5","35182152","7036430","7.74929415307842"
"hipMemcpy","15","25047529","1669835","5.51702096076335"
"hipLaunchKernel","5","712926","142585","0.157030567185816"
"hipFree","3","143833","47944","0.0316809564667826"
"__hipPushCallConfiguration","5","11306","2261","0.00249028313261521"
"__hipPopCallConfiguration","5","11026","2205","0.00242860974882499"
"Total","41","454004601","11073282","100.0"
