"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMalloc","7","384343099","54906157","99.6110782974524"
"hipMemcpy","6","862091","143681","0.223430092341866"
"hipLaunchKernel","5","558280","111656","0.144690701970693"
"hipFree","7","36886","5269","0.009559828818677"
"hipDeviceSynchronize","1","27244","27244","0.00706088966914375"
"__hipPopCallConfiguration","5","8065","1613","0.0020902244597579"
"__hipPushCallConfiguration","5","8064","1612","0.00208996528747523"
"Total","36","385843729","10717881","100.0"
