=== CPU基准版MLP低轨卫星带宽预测系统 ===
加载了 3394 个带宽数据点
数据归一化完成, 范围: [8.75, 406.41]
创建了 3384 个训练样本
训练集大小: 2707, 测试集大小: 677

=== 开始CPU训练 ===
Epoch 530/10000, 平均损失: 0.0147145, 最佳损失: 0.0147145, Patience: 0
Epoch 540/10000, 平均损失: 0.0146321, 最佳损失: 0.0146321, Patience: 0
Epoch 550/10000, 平均损失: 0.014556, 最佳损失: 0.014556, Patience: 0
Epoch 560/10000, 平均损失: 0.0144856, 最佳损失: 0.0144856, Patience: 0
Epoch 570/10000, 平均损失: 0.0144205, 最佳损失: 0.0144205, Patience: 0
Epoch 580/10000, 平均损失: 0.0143602, 最佳损失: 0.0143602, Patience: 0
Epoch 590/10000, 平均损失: 0.0143045, 最佳损失: 0.0143045, Patience: 0
Epoch 600/10000, 平均损失: 0.0142528, 最佳损失: 0.0142528, Patience: 0
Epoch 610/10000, 平均损失: 0.0142049, 最佳损失: 0.0142049, Patience: 0
Epoch 620/10000, 平均损失: 0.0141604, 最佳损失: 0.0141604, Patience: 0
Epoch 630/10000, 平均损失: 0.0141191, 最佳损失: 0.0141191, Patience: 0
Epoch 640/10000, 平均损失: 0.0140808, 最佳损失: 0.0140808, Patience: 0
Epoch 650/10000, 平均损失: 0.0140452, 最佳损失: 0.0140452, Patience: 0
Epoch 660/10000, 平均损失: 0.014012, 最佳损失: 0.014012, Patience: 0
Epoch 670/10000, 平均损失: 0.0139811, 最佳损失: 0.0139811, Patience: 0
Epoch 680/10000, 平均损失: 0.0139522, 最佳损失: 0.0139522, Patience: 0
Epoch 690/10000, 平均损失: 0.0139253, 最佳损失: 0.0139253, Patience: 0
Epoch 700/10000, 平均损失: 0.0139002, 最佳损失: 0.0139002, Patience: 0
Epoch 710/10000, 平均损失: 0.0138767, 最佳损失: 0.0138767, Patience: 0
Epoch 720/10000, 平均损失: 0.0138547, 最佳损失: 0.0138547, Patience: 0
Epoch 730/10000, 平均损失: 0.013834, 最佳损失: 0.013834, Patience: 0
Epoch 740/10000, 平均损失: 0.0138146, 最佳损失: 0.0138146, Patience: 0
Epoch 750/10000, 平均损失: 0.0137964, 最佳损失: 0.0137964, Patience: 0
Epoch 760/10000, 平均损失: 0.0137792, 最佳损失: 0.0137792, Patience: 0
Epoch 770/10000, 平均损失: 0.013763, 最佳损失: 0.013763, Patience: 0
Epoch 780/10000, 平均损失: 0.0137477, 最佳损失: 0.0137477, Patience: 0
Epoch 790/10000, 平均损失: 0.0137332, 最佳损失: 0.0137332, Patience: 0
Epoch 800/10000, 平均损失: 0.0137195, 最佳损失: 0.0137195, Patience: 0
Epoch 810/10000, 平均损失: 0.0137064, 最佳损失: 0.0137064, Patience: 0
Epoch 820/10000, 平均损失: 0.013694, 最佳损失: 0.013694, Patience: 0
Epoch 830/10000, 平均损失: 0.0136823, 最佳损失: 0.0136823, Patience: 0
Epoch 840/10000, 平均损失: 0.013671, 最佳损失: 0.013671, Patience: 0
Epoch 850/10000, 平均损失: 0.0136603, 最佳损失: 0.0136603, Patience: 0
Epoch 860/10000, 平均损失: 0.01365, 最佳损失: 0.01365, Patience: 0
Epoch 870/10000, 平均损失: 0.0136401, 最佳损失: 0.0136401, Patience: 0
Epoch 880/10000, 平均损失: 0.0136307, 最佳损失: 0.0136307, Patience: 0
Epoch 890/10000, 平均损失: 0.0136216, 最佳损失: 0.0136216, Patience: 0
Epoch 900/10000, 平均损失: 0.0136128, 最佳损失: 0.0136128, Patience: 0
Epoch 910/10000, 平均损失: 0.0136043, 最佳损失: 0.0136043, Patience: 0
Epoch 920/10000, 平均损失: 0.0135961, 最佳损失: 0.0135961, Patience: 0
Epoch 930/10000, 平均损失: 0.0135882, 最佳损失: 0.0135882, Patience: 0
Epoch 940/10000, 平均损失: 0.0135805, 最佳损失: 0.0135805, Patience: 0
Epoch 950/10000, 平均损失: 0.013573, 最佳损失: 0.013573, Patience: 0
Epoch 960/10000, 平均损失: 0.0135657, 最佳损失: 0.0135657, Patience: 0
Epoch 970/10000, 平均损失: 0.0135586, 最佳损失: 0.0135586, Patience: 0
Epoch 980/10000, 平均损失: 0.0135517, 最佳损失: 0.0135517, Patience: 0
Epoch 990/10000, 平均损失: 0.0135449, 最佳损失: 0.0135449, Patience: 0
Epoch 1000/10000, 平均损失: 0.0135383, 最佳损失: 0.0135383, Patience: 0
Epoch 1010/10000, 平均损失: 0.0135318, 最佳损失: 0.0135318, Patience: 0
