"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMalloc","3","390464700","130154900","86.448485207017"
"hipDeviceSynchronize","5","35201750","7040350","7.79363144513732"
"hipMemcpy","15","25040050","1669336","5.54384145867211"
"hipLaunchKernel","5","808230","161646","0.178941295330583"
"hipFree","3","134080","44693","0.0296851748610229"
"__hipPushCallConfiguration","5","12280","2456","0.00271877943983712"
"__hipPopCallConfiguration","5","12180","2436","0.00269663954211858"
"Total","41","451673270","11016421","100.0"
